ID_ASIGNATURA,NOMBRE,CREDITOS,HORAS,DEPARTAMENTO,OFICIAL
1835,ADMON.INVERSIONES MINERAS,9,4.5,,1
1837,YACIMIENTOS MINERALES,7,3.5,,1
1847,INTRO.AL TRATAMNTO.SEÑALES,9,4.5,,1
1850,METALOGENIA,9,4.5,,1
1851,PROCESOS DE MANUFACTURA II,10,5,,1
1852,SEMINARIO DE INGENIERIA,4,2,,1
1853,SISTEMAS DE CALIDAD,8,4,,1
1854,PROYECTO GEOMATICO,6,3,,1
1855,AMPLIFICADORES ELECTRONICOS,11,5.5,,1
1856,ELECTRONICA DE POTENCIA,9,4.5,,1
1857,MICROPROCESADORES Y MICROCONTROLAD,8,4,,1
1858,FUNDAMENTOS SISTEMAS EMBEBIDOS,8,4,,1
1859,MODELADO DE PROCESOS DE MANUFACTURA,10,5,,1
1860,TRANSFERENCIA DE CALOR,10,5,,1
1861,ADMON.SEGUR.INDUSTR.PROTEC.AMBIENT.,6,3,,1
1862,LEGISLACION DE LA INDUST. PETROLERA,6,3,,1
1863,RECUPERACION SECUNDARIA MEJORADA,9,4.5,,1
1864,TERMINACION Y MANTENIMIENTO POZOS,11,5.5,,1
1865,ADMINISTRACION DE PROYECT. SOFTWARE,6,3,,1
1866,ADMINISTRACION DE REDES,8,4,,1
1867,ORGANIZACION Y ARQUITEC.COMPUTADORA,8,4,,1
1868,PROSPECCION SISMICA,9,4.5,,1
1869,PROSPECCION ELECTRICA,9,4.5,,1
1870,ESTANCIAS PROFESIONALES,6,3,,1
1871,GEOLOGIA APLICADA A LA MINERIA,9,4.5,,1
1872,EXPLOTACION DE MINAS A CIELO ABIERTO,9,4.5,,1
1873,MATERIALES Y PROCEDIMIENTOS CONSTR,9,4.5,,1
1874,DISPOSITIVOS DE MICROONDAS II,8,4,,1
1875,SISTEMAS DE COMUNICACIONES OPTICAS,8,4,,1
1876,SISTEMAS DE RADIOCOMUNICACIONES I,9,4.5,,1
1877,TELEFONIA DIGITAL,8,4,,1
1878,TRANSMISORES,8,4,,1
1879,SISTEMAS DE CONTROL,11,5.5,,1
1880,PRACTICAS GENERALES,6,3,,1
1881,CONTROL AVANZADO,11,5.5,,1
1882,CONTROL DE ROBOTS INDUSTRIALES,8,4,,1
1883,CONTROLADORES INDUST. LOGICA PROGRM,8,4,,1
1884,TOPOGRAFIA III,12,6,,1
1885,INSTALACIONES ELECTRIC. INDUSTRIALS,6,3,,1
1888,INTROD.A LOS SISTEMAS ENERGETICOS,6,3,,1
1889,MAQUINAS ELECTRICAS II,11,5.5,,1
1890,PLANTAS GENERADORAS,6,3,,1
1892,PROTECCION DE SISTEMAS ELECTRICOS,11,5.5,,1
1893,SISTEMAS ELECTRONICOS ANALOGICOS,8,4,,1
